price,opp,rooms,opp_rooms,city,address
389.00,108 m²,2 slpk.,,9000 Gent,Sint-Lievenslaan 177 | 9000 - Gent
329.00,105 m²,2 slpk.,,9000 Gent,Hubert Frère-Orbanlaan 482 | 9000 - Gent
260.00,95 m²,2 slpk.,,9000 Gent,Rijsenbergstraat 250 | 9000 - Gent
169.00,56 m²,2 slpk.,,9000 Gent,Manchesterstraat 28 | 9000 - Gent
262.50,70 m²,2 slpk.,,9000 Gent,Krijgslaan 267 | 9000 - Gent
259.00,85 m²,2 slpk.,,9000 Gent,Keizervest 157 | 9000 - Gent
222.42,80 m²,2 slpk.,,9000 Gent,ScandinaviestraatScandinaviestraatStapelplein 1111117 | 9000 - Gent
295.00,85 m²,1 slpk.,,9000 Gent,Vina Bovypark 29 | 9000 - Gent
310.00,110 m²,3 slpk.,,9000 Gent,Charles de Kerchovelaan 383 | 9000 - Gent
435.00,120 m²,3 slpk.,,9000 Gent,Franklin Rooseveltlaan 342 | 9000 - Gent
530.00,100 m²,1 slpk.,,9000 Gent,Langemunt 45 bus 0202 | 9000 - Gent
van 2,75 - 100 m²,2 slpk.,,9000 Gent,Rasphuisstraat 11-15 | 9000 - Gent
275.00,100 m²,2 slpk.,,9000 Gent,Bernard Spaelaan 91 | 9000 - Gent
342.00,105 m²,2 slpk.,,9000 Gent,Groendreef 219 bus 202 | 9000 - Gent
350.00,188 m²,4 slpk.,,9000 Gent,Kortrijksesteenweg 629 bus C3 | 9000 - Gent
495.00,124 m²,3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
165.00,46 m²,1 slpk.,,9000 Gent,Voskenslaan 505 | 9000 - Gent
340.00,108 m²,2 slpk.,,9000 Gent,Parkplein 7 | 9000 - Gent
165.00,45 m²,1 slpk.,,9000 Gent,K De Stoutestraat 68 | 9000 - Gent
van 4,83 - 213 m²,1 - 3 slpk.,,9000 Gent,Tondelierlaan 4 | 9000 - Gent
494.50,205 m²,3 slpk.,,9000 Gent,Gasmeterlaan 114 | 9000 - Gent
450.00,112 m²,3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
475.00,113 m²,3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
van 4,61 - 147 m²,1 - 3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
320.00,70 m²,2 slpk.,,9000 Gent,Sportstraat 264 | 9000 - Gent
235.00,73 m²,2 slpk.,,9000 Gent,Sint-Kristoffelstraat 8 | 9000 - Gent
260.00,83 m²,2 slpk.,,9000 Gent,Nieuwewandeling 43 | 9000 - Gent
285.00,80 m²,2 slpk.,,9000 Gent,Patijntjestraat 126 | 9000 - Gent
299.50,96 m²,3 slpk.,,9000 Gent,Hubert Frère-Orbanlaan 568 | 9000 - Gent
355.00,87 m²,2 slpk.,,9000 Gent,Gustaaf Callierlaan 138 | 9000 - Gent
482.50,105 m²,3 slpk.,,9000 Gent,Keizer Leopoldstraat 3 bus F | 9000 - Gent
475.00,96 m²,2 slpk.,,9000 Gent,François Laurentplein 3 101 | 9000 - Gent
265.00,65 m²,1 slpk.,,9000 Gent,Godshuizenlaan 121 | 9000 - Gent
249.50,70 m²,1 slpk.,,9000 Gent,Brusselsepoortstraat 53 | 9000 - Gent
295.00,85 m²,2 slpk.,,9000 Gent,Stapelplein 27 | 9000 - Gent
441.00,107 m²,3 slpk.,,9000 Gent,Doornzelestraat 23-31 | 9000 - Gent
372.50,120 m²,3 slpk.,,9000 Gent,Clarissenstraat 52 | 9000 - Gent
545.50,163 m²,2 slpk.,,9000 Gent,Dendermondsesteenweg 48 B bus 203 | 9000 - Gent
295.00,70 m²,2 slpk.,,9000 Gent,Hubert Frère-Orbanlaan 328 | 9000 - Gent
1.390.,191 m²,3 slpk.,,9000 Gent,Zandberg 11 | 9000 - Gent
van 3,88 - 138 m²,2 - 3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
699.00,123 m²,2 slpk.,,9000 Gent,Nederkouter 26 | 9000 - Gent
1.349.,393 m²,3 slpk.,,9000 Gent,Tondelierlaan 9 | 9000 - Gent
219.00,68 m²,2 slpk.,,9000 Gent,Sint-Lievenspoortstraat 97 | 9000 - Gent
275.00,85 m²,1 slpk.,,9000 Gent,Londenstraat 140 | 9000 - Gent
200.00,75 m²,2 slpk.,,9000 Gent,Kasteellaan 152 | 9000 - Gent
259.00,68 m²,2 slpk.,,9000 Gent,Sportstraat 155 | 9000 - Gent
275.00,145 m²,3 slpk.,,9000 Gent,Sleepstraat 182 | 9000 - Gent
315.00,90 m²,2 slpk.,,9000 Gent,Poelsnepstraat 13 bus 2 | 9000 - Gent
360.00,120 m²,2 slpk.,,9000 Gent,eendrachtstraat 3A bus 003 | 9000 - Gent
365.00,118 m²,3 slpk.,,9000 Gent,Martelaarslaan 317 | 9000 - Gent
399.00,154 m²,2 slpk.,,9000 Gent,New-Yorkstraat 11 | 9000 - Gent
407.00,130 m²,3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
370.00,65 m²,1 slpk.,,9000 Gent,Einde Were 13 bus 205 | 9000 - Gent
345.27,101 m²,2 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
352.27,100 m²,2 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
376.15,115 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
392.50,117 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
396.15,112 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
437.65,119 m²,3 slpk.,,9000 Gent,Thomas Edisonstraat | 9000 - Gent
425.00,120 m²,2 slpk.,,9000 Gent,Keizer Karelstraat 108 bus 001 | 9000 - Gent
545.00,137 m²,2 slpk.,,9000 Gent,Brouwersstraat 5/001 | 9000 - Gent
299.00,93 m²,2 slpk.,,9000 Gent,Heerweg Zuid 197 | 9000 - Gent
328.00,119 m²,3 slpk.,,9000 Gent,Hubert Frère-Orbanlaan 565 | 9000 - Gent
340.00,108 m²,2 slpk.,,9000 Gent,Parkplein 7 | 9000 - Gent
350.00,104 m²,2 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
368.00,121 m²,3 slpk.,,9000 Gent,Adres aanvragen
528.30,128 m²,2 slpk.,,9000 Gent,Wispelbergstraat 3 002 | 9000 - Gent
van 3,64 - 154 m²,1 - 3 slpk.,,9000 Gent,Doornzelestraat 23-31 | 9000 - Gent
285.00,87 m²,2 slpk.,,9000 Gent,Stapelplein 80 bus 3.1 | 9000 - Gent
285.00,87 m²,2 slpk.,,9000 Gent,Stapelplein 80 bus 3.1 | 9000 - Gent
335.00,129 m²,3 slpk.,,9000 Gent,Forelstraat 8002 | 9000 - Gent
290.00,100 m²,2 slpk.,,9000 Gent,Nieuwewandeling 68 bus C | 9000 - Gent
430.00,200 m²,3 slpk.,,9000 Gent,Filaturestraat /2109 | 9000 - Gent
445.00,108 m²,2 slpk.,,9000 Gent,Oudburg 58 | 9000 - Gent
750.00,253 m²,2 slpk.,,9000 Gent,Gustaaf Callierlaan 270 | 9000 - Gent
435.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
445.00,93 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
685.00,134 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
235.00,45 m²,1 slpk.,,9000 Gent,Krijgsgasthuisstraat 2 | 9000 - Gent
284.49,71 m²,1 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
478.00,230 m²,2 slpk.,,9000 Gent,Fuchsiastraat 100/B | 9000 - Gent
210.00,40 m²,1 slpk.,,9000 Gent,Burggravenlaan 224 | 9000 - Gent
225.00,84 m²,2 slpk.,,9000 Gent,Ham 203 | 9000 - Gent
